Year1,Year2,Event,Death toll,Participants involved,Terms
1913,1913,Wheatland Riot,4,,Wheatland Riot
1913,1913,Paterson Silk Strike,,8500,"Paterson Strike, silk strike"
1913,1913,Copper Country Strike,84,14000,"Copper Strike, country strike"
1913,1913,Colorado Coalfield War,79,12000,Coalfield War
1913,1913,Indianapolis Streetcar Strike,6,,Streetcar Strike
1914,1914,Ludlow Massacre,24,,"Indianapolis Strike, Streetcar strike"
1916,1916,Preparedness Day Bombing,10,,Preparedness Bombing
1916,1916,Everett Massacre,7,,everett massacre
1917,1917,St. Louis riots,150,,"st louis riot, louis riot"
1917,1917,Chester Race Riot,7,,chester riot
1917,1917,Green Corn Rebellion,3,1000,corn rebellion
1917,1917,Houston Race Riot,23,110,houston riot
1919,1919,Seattle General Strike,,65000,seattle strike
1919,1919,May Day Riots,2,,"may day riot, day riot, may day"
1919,1919,Red summer,240,,red summer
1919,1919,Steel Strike of 1919,,365000,steel strike
1919,1919,Coal Strike of 1919,,394000,coal strike
1919,1919,Centralia Massacre,6,,centralia massacre
1920,1920,Battle of Matewan,10,,"matewan battle, battle matewan"
1920,1920,Ocoee Massacre,80,200,ccoee massacre
1921,1921,Tulsa Race Massacre,300,6000,tulsa massacre
1921,1921,Battle of Blair Mountain,16,,"Blair Mountain battle, mountain battle"
1922,1922,Herrin Massacre,23,,herrin massacre
1923,1923,Rosewood Massacre,8,,rosewood massacre
1927,1927,Columbine Mine Massacre,6,,"mine massacre, columbine massacre"
1931,1932,Harlan County War,5,,harlan war
1932,1932,Bonus Army March,2,44000,bonus march
1932,1932,Ford Hunger March,5,,"Ford March, hunger march"
1934,1934,Minneapolis Teamsters Strike,4,,"Teamsters Strike, Teamster Strike"
1934,1934,Auto-Lite Strike,2,13500,AutoLite Strike
1934,1934,Textile Workers Strike,18,400000,textile strike
1935,1935,Harlem Riot,3,,harlem riot
1943,1943,Beaumont Race Riot of 1943,3,6000,Beaumont Riot
1943,1943,Zoot Suit Riots,,650,suit riot
1943,1943,Detroit Race Riot of 1943,34,1800,detroid riot
1943,1943,Harlem Riot of 1943,6,600,harlem riot
1949,1949,Englewood Race Riot,13,10000,Englewood Riot
1951,1951,Cicero Race Riot of 1951,,4000,Cicero Riot
1958,1958,Battle of Hayes Pond,,500,"Battle Hayes, hayes battle, pond battle"
1962,1962,Ole Miss Riot 1962,2,,"miss riot, ole riot"
1964,1964,Harlem riot of 1964,1,4000,Harlem riot 
1964,1964,Rochester 1964 Race Riot,5,,Rochester Riot
1965,1965,Watts Riots,34,19000,watts riot
1966,1966,Hough Riots,4,4800,houg riot
1967,1967,"Long, hot summer 1967",85,13100,hot summer
1967,1967,1967 Century City Demonstration,,10000,city demonstration
1968,1968,Orangeburg Massacre,3,,orangeburg massacre
1968,1968,King assassination riots,43,20000,King assassination
1968,1968,Louisville Riots of 1968,2,400,Louisville Riot
1968,1968,Glenville Shootout,6,,Glenville Shootout
1968,1968,1968 Democratic National Convention Protests,1,,convention Protests
1969,1969,1969 Greensboro Uprising,1,,greensboro uprising
1969,1969,Stonewall Riots,,1600,"Stonewall Riot, stonewall"
1970,1970,Kent State Shootings,4,,"Kent State Shooting, kent shooting"
1970,1970,Augusta Riot,6,3000,Augusta Riot
1970,1970,Jackson State Killings,2,,Jackson Killing
1970,1970,Sterling Hall Bombing,1,,"Sterling Bombing, hall bombing"
1971,1971,May Day Protests 1971,,12000,"May Day, day protest"
1971,1971,Attica Prison Uprising,43,1947,Attica Prison
1973,1973,Wounded Knee Incident,2,200,Wounded Knee
1974,1974,Baltimore Police Strike,,1500,"Baltimore Strike, police strike"
1977,1977,Humboldt Park Riot,3,,"Humboldt Riot, park riot"
1979,1979,Greensboro Massacre,5,,Greensboro Massacre
1980,1980,New Mexico State Penitentiary Riot,33,,"penitentiary Riot, prison riot"
1980,1980,Miami Riot 1980,18,,Miami Riot
1982,1982,1982 Overtown Riot,1,,Overtown Riot
1985,1985,1985 MOVE Bombing,11,,MOVE Bombing
1986,1986,Marquette Park KKK Rally,,3000,Marquette Park
1991,1991,Crown Heights Riot,2,,"Crown Heights, Crown Height"
1992,1992,1992 Los Angeles Riots,63,10000,"los Angeles Riots, angele riot"
1999,1999,"WTO Meeting of 1999 (""The Battle of Seattle"")",,40000,"WTO Meeting, seattle battle, battle seattle"
