Year,Phrase,Frequency,Corpus,Parent
1888,ABRAHAM LINcoLN,4.172535206237171e-9,en-US-2019,Abraham Lincoln (All)
1889,ABRAHAM LINcoLN,2.838607571220564e-9,en-US-2019,Abraham Lincoln (All)
1890,ABRAHAM LINcoLN,1.1689262002789746e-8,en-US-2019,Abraham Lincoln (All)
1891,ABRAHAM LINcoLN,5.952001114195582e-9,en-US-2019,Abraham Lincoln (All)
1892,ABRAHAM LINcoLN,2.4022679401269897e-9,en-US-2019,Abraham Lincoln (All)
1893,ABRAHAM LINcoLN,2.922755149015188e-9,en-US-2019,Abraham Lincoln (All)
1894,ABRAHAM LINcoLN,2.9068529805442722e-9,en-US-2019,Abraham Lincoln (All)
1895,ABRAHAM LINcoLN,2.6864941382598317e-9,en-US-2019,Abraham Lincoln (All)
1896,ABRAHAM LINcoLN,1.822364481540717e-9,en-US-2019,Abraham Lincoln (All)
1897,ABRAHAM LINcoLN,3.929959024873142e-9,en-US-2019,Abraham Lincoln (All)
1898,ABRAHAM LINcoLN,2.3624349143602785e-9,en-US-2019,Abraham Lincoln (All)
1899,ABRAHAM LINcoLN,3.177556440192575e-9,en-US-2019,Abraham Lincoln (All)
1900,ABRAHAM LINcoLN,3.3319786929553175e-9,en-US-2019,Abraham Lincoln (All)
1901,ABRAHAM LINcoLN,2.7173217009845985e-9,en-US-2019,Abraham Lincoln (All)
1902,ABRAHAM LINcoLN,3.378934465558814e-9,en-US-2019,Abraham Lincoln (All)
1903,ABRAHAM LINcoLN,6.671663221879953e-9,en-US-2019,Abraham Lincoln (All)
1904,ABRAHAM LINcoLN,1.5168836187129386e-9,en-US-2019,Abraham Lincoln (All)
1905,ABRAHAM LINcoLN,5.597353691655371e-9,en-US-2019,Abraham Lincoln (All)
1906,ABRAHAM LINcoLN,4.3884549327799505e-9,en-US-2019,Abraham Lincoln (All)
1907,ABRAHAM LINcoLN,1.9175585563857567e-9,en-US-2019,Abraham Lincoln (All)
1908,ABRAHAM LINcoLN,5.552888815429924e-9,en-US-2019,Abraham Lincoln (All)
1909,ABRAHAM LINcoLN,7.468757168282991e-9,en-US-2019,Abraham Lincoln (All)
1910,ABRAHAM LINcoLN,2.8194577783580144e-9,en-US-2019,Abraham Lincoln (All)
1911,ABRAHAM LINcoLN,1.2052081554969618e-9,en-US-2019,Abraham Lincoln (All)
1912,ABRAHAM LINcoLN,2.4004982446257372e-9,en-US-2019,Abraham Lincoln (All)
1913,ABRAHAM LINcoLN,3.342591758936919e-9,en-US-2019,Abraham Lincoln (All)
1914,ABRAHAM LINcoLN,3.401233072963805e-9,en-US-2019,Abraham Lincoln (All)
1915,ABRAHAM LINcoLN,2.513240504598002e-9,en-US-2019,Abraham Lincoln (All)
1916,ABRAHAM LINcoLN,1.8997137196663516e-9,en-US-2019,Abraham Lincoln (All)
1917,ABRAHAM LINcoLN,1.8135176693689914e-9,en-US-2019,Abraham Lincoln (All)
1918,ABRAHAM LINcoLN,2.28656382716963e-9,en-US-2019,Abraham Lincoln (All)
1919,ABRAHAM LINcoLN,1.0358112589869961e-8,en-US-2019,Abraham Lincoln (All)
1920,ABRAHAM LINcoLN,2.248853769870607e-9,en-US-2019,Abraham Lincoln (All)
1921,ABRAHAM LINcoLN,2.4507058604683607e-9,en-US-2019,Abraham Lincoln (All)
1922,ABRAHAM LINcoLN,1.6084023002349568e-9,en-US-2019,Abraham Lincoln (All)
1923,ABRAHAM LINcoLN,2.926618059007069e-9,en-US-2019,Abraham Lincoln (All)
1924,ABRAHAM LINcoLN,2.1338077971222447e-9,en-US-2019,Abraham Lincoln (All)
1925,ABRAHAM LINcoLN,2.421844946809415e-9,en-US-2019,Abraham Lincoln (All)
1926,ABRAHAM LINcoLN,5.016524973200376e-9,en-US-2019,Abraham Lincoln (All)
1927,ABRAHAM LINcoLN,4.356228711088761e-9,en-US-2019,Abraham Lincoln (All)
1928,ABRAHAM LINcoLN,4.022305599704623e-9,en-US-2019,Abraham Lincoln (All)
1929,ABRAHAM LINcoLN,2.9388524946938333e-9,en-US-2019,Abraham Lincoln (All)
1930,ABRAHAM LINcoLN,2.4723596503406498e-9,en-US-2019,Abraham Lincoln (All)
1931,ABRAHAM LINcoLN,4.532990871553011e-9,en-US-2019,Abraham Lincoln (All)
1932,ABRAHAM LINcoLN,4.016315280352956e-9,en-US-2019,Abraham Lincoln (All)
1933,ABRAHAM LINcoLN,1.908461388921978e-9,en-US-2019,Abraham Lincoln (All)
1934,ABRAHAM LINcoLN,7.931384438109035e-10,en-US-2019,Abraham Lincoln (All)
1935,ABRAHAM LINcoLN,7.109849597952689e-9,en-US-2019,Abraham Lincoln (All)
1936,ABRAHAM LINcoLN,2.5184783147835788e-9,en-US-2019,Abraham Lincoln (All)
1937,ABRAHAM LINcoLN,3.5077931670457474e-9,en-US-2019,Abraham Lincoln (All)
1938,ABRAHAM LINcoLN,1.9589914135309527e-9,en-US-2019,Abraham Lincoln (All)
1939,ABRAHAM LINcoLN,2.330070136835616e-9,en-US-2019,Abraham Lincoln (All)
1940,ABRAHAM LINcoLN,1.9848931387400626e-9,en-US-2019,Abraham Lincoln (All)
1941,ABRAHAM LINcoLN,3.538425108473575e-9,en-US-2019,Abraham Lincoln (All)
1942,ABRAHAM LINcoLN,1.7038779276390414e-9,en-US-2019,Abraham Lincoln (All)
1943,ABRAHAM LINcoLN,2.482099858980291e-9,en-US-2019,Abraham Lincoln (All)
1944,ABRAHAM LINcoLN,3.6731251373822715e-9,en-US-2019,Abraham Lincoln (All)
1945,ABRAHAM LINcoLN,2.9126634437659504e-9,en-US-2019,Abraham Lincoln (All)
1946,ABRAHAM LINcoLN,1.4042409457459826e-9,en-US-2019,Abraham Lincoln (All)
1947,ABRAHAM LINcoLN,3.6865364094751385e-9,en-US-2019,Abraham Lincoln (All)
1948,ABRAHAM LINcoLN,3.2498641555633867e-9,en-US-2019,Abraham Lincoln (All)
1949,ABRAHAM LINcoLN,2.9114757271742064e-9,en-US-2019,Abraham Lincoln (All)
1950,ABRAHAM LINcoLN,2.3112727287610824e-9,en-US-2019,Abraham Lincoln (All)
1951,ABRAHAM LINcoLN,6.635176852398672e-10,en-US-2019,Abraham Lincoln (All)
1952,ABRAHAM LINcoLN,1.00579344852747e-9,en-US-2019,Abraham Lincoln (All)
1953,ABRAHAM LINcoLN,1.7592194367921365e-8,en-US-2019,Abraham Lincoln (All)
1954,ABRAHAM LINcoLN,3.2304550146022848e-9,en-US-2019,Abraham Lincoln (All)
1955,ABRAHAM LINcoLN,2.7518181067165415e-9,en-US-2019,Abraham Lincoln (All)
1956,ABRAHAM LINcoLN,1.2566306883954326e-9,en-US-2019,Abraham Lincoln (All)
1957,ABRAHAM LINcoLN,2.000652310485407e-9,en-US-2019,Abraham Lincoln (All)
1958,ABRAHAM LINcoLN,1.462919341221891e-9,en-US-2019,Abraham Lincoln (All)
1959,ABRAHAM LINcoLN,4.780086548805684e-9,en-US-2019,Abraham Lincoln (All)
1960,ABRAHAM LINcoLN,1.9302979215041205e-9,en-US-2019,Abraham Lincoln (All)
1961,ABRAHAM LINcoLN,1.5417748189250347e-9,en-US-2019,Abraham Lincoln (All)
1962,ABRAHAM LINcoLN,6.885045866766859e-10,en-US-2019,Abraham Lincoln (All)
1963,ABRAHAM LINcoLN,1.1755681983416366e-9,en-US-2019,Abraham Lincoln (All)
1964,ABRAHAM LINcoLN,2.2247119702001328e-9,en-US-2019,Abraham Lincoln (All)
1965,ABRAHAM LINcoLN,1.336810440122349e-9,en-US-2019,Abraham Lincoln (All)
1966,ABRAHAM LINcoLN,1.0275911233037505e-9,en-US-2019,Abraham Lincoln (All)
1967,ABRAHAM LINcoLN,1.8324071149322663e-9,en-US-2019,Abraham Lincoln (All)
1968,ABRAHAM LINcoLN,1.3524021902355798e-9,en-US-2019,Abraham Lincoln (All)
1969,ABRAHAM LINcoLN,9.768181818969879e-10,en-US-2019,Abraham Lincoln (All)
1970,ABRAHAM LINcoLN,8.044055976874631e-10,en-US-2019,Abraham Lincoln (All)
1971,ABRAHAM LINcoLN,2.6773605554808455e-10,en-US-2019,Abraham Lincoln (All)
1972,ABRAHAM LINcoLN,1.2680085870186986e-9,en-US-2019,Abraham Lincoln (All)
1973,ABRAHAM LINcoLN,6.975163224787195e-10,en-US-2019,Abraham Lincoln (All)
1974,ABRAHAM LINcoLN,7.156274461905809e-10,en-US-2019,Abraham Lincoln (All)
1975,ABRAHAM LINcoLN,7.824276226919835e-10,en-US-2019,Abraham Lincoln (All)
1976,ABRAHAM LINcoLN,4.860257751815311e-10,en-US-2019,Abraham Lincoln (All)
1977,ABRAHAM LINcoLN,3.975075546502893e-10,en-US-2019,Abraham Lincoln (All)
1978,ABRAHAM LINcoLN,2.373378715780916e-10,en-US-2019,Abraham Lincoln (All)
1979,ABRAHAM LINcoLN,2.383407082806599e-10,en-US-2019,Abraham Lincoln (All)
1980,ABRAHAM LINcoLN,7.979295696403099e-11,en-US-2019,Abraham Lincoln (All)
1981,ABRAHAM LINcoLN,8.080972002666442e-11,en-US-2019,Abraham Lincoln (All)
1982,ABRAHAM LINcoLN,8.043645610689154e-11,en-US-2019,Abraham Lincoln (All)
1983,ABRAHAM LINcoLN,0,en-US-2019,Abraham Lincoln (All)
1984,ABRAHAM LINcoLN,7.686888625624277e-11,en-US-2019,Abraham Lincoln (All)
1985,ABRAHAM LINcoLN,9.70995062132829e-10,en-US-2019,Abraham Lincoln (All)
1986,ABRAHAM LINcoLN,2.2541252198138295e-10,en-US-2019,Abraham Lincoln (All)
1987,ABRAHAM LINcoLN,7.452335970548063e-11,en-US-2019,Abraham Lincoln (All)
1988,ABRAHAM LINcoLN,1.4787496227519625e-10,en-US-2019,Abraham Lincoln (All)
1989,ABRAHAM LINcoLN,6.953097125839136e-11,en-US-2019,Abraham Lincoln (All)
1990,ABRAHAM LINcoLN,6.692389697970924e-11,en-US-2019,Abraham Lincoln (All)
1991,ABRAHAM LINcoLN,2.760857931161098e-10,en-US-2019,Abraham Lincoln (All)
1992,ABRAHAM LINcoLN,6.66902852386464e-11,en-US-2019,Abraham Lincoln (All)
1993,ABRAHAM LINcoLN,1.6476555675382087e-9,en-US-2019,Abraham Lincoln (All)
1994,ABRAHAM LINcoLN,0,en-US-2019,Abraham Lincoln (All)
1995,ABRAHAM LINcoLN,1.9116980221056679e-10,en-US-2019,Abraham Lincoln (All)
1996,ABRAHAM LINcoLN,1.124007664721205e-9,en-US-2019,Abraham Lincoln (All)
1997,ABRAHAM LINcoLN,5.394861779528526e-10,en-US-2019,Abraham Lincoln (All)
1998,ABRAHAM LINcoLN,7.297541460005164e-10,en-US-2019,Abraham Lincoln (All)
1999,ABRAHAM LINcoLN,6.65537347455114e-11,en-US-2019,Abraham Lincoln (All)
2000,ABRAHAM LINcoLN,3.0495131420060773e-10,en-US-2019,Abraham Lincoln (All)
2001,ABRAHAM LINcoLN,1.2244838476505038e-10,en-US-2019,Abraham Lincoln (All)
2002,ABRAHAM LINcoLN,1.193162513235535e-10,en-US-2019,Abraham Lincoln (All)
2003,ABRAHAM LINcoLN,3.4526487224795233e-10,en-US-2019,Abraham Lincoln (All)
2004,ABRAHAM LINcoLN,1.7145129760365307e-10,en-US-2019,Abraham Lincoln (All)
2005,ABRAHAM LINcoLN,1.875393174088913e-10,en-US-2019,Abraham Lincoln (All)
2006,ABRAHAM LINcoLN,5.031279837197644e-10,en-US-2019,Abraham Lincoln (All)
2007,ABRAHAM LINcoLN,1.275962391300567e-10,en-US-2019,Abraham Lincoln (All)
2008,ABRAHAM LINcoLN,1.831748641656361e-9,en-US-2019,Abraham Lincoln (All)
2009,ABRAHAM LINcoLN,2.67682154220239e-10,en-US-2019,Abraham Lincoln (All)
2010,ABRAHAM LINcoLN,8.676929730278005e-10,en-US-2019,Abraham Lincoln (All)
1850,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1851,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1852,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1853,ABRAHAM LINcolN,1.5032063371833715e-9,en-US-2019,Abraham Lincoln (All)
1854,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1855,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1856,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1857,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1858,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1859,ABRAHAM LINcolN,7.317145778173995e-10,en-US-2019,Abraham Lincoln (All)
1860,ABRAHAM LINcolN,5.7545044285234326e-9,en-US-2019,Abraham Lincoln (All)
1861,ABRAHAM LINcolN,1.3284639166499801e-8,en-US-2019,Abraham Lincoln (All)
1862,ABRAHAM LINcolN,3.96484338693881e-8,en-US-2019,Abraham Lincoln (All)
1863,ABRAHAM LINcolN,4.226725636158335e-8,en-US-2019,Abraham Lincoln (All)
1864,ABRAHAM LINcolN,7.275893665337207e-8,en-US-2019,Abraham Lincoln (All)
1865,ABRAHAM LINcolN,2.2235069252474204e-7,en-US-2019,Abraham Lincoln (All)
1866,ABRAHAM LINcolN,1.1420540602102847e-7,en-US-2019,Abraham Lincoln (All)
1867,ABRAHAM LINcolN,9.632634601075551e-8,en-US-2019,Abraham Lincoln (All)
1868,ABRAHAM LINcolN,1.3920255170773999e-8,en-US-2019,Abraham Lincoln (All)
1869,ABRAHAM LINcolN,1.1995162196853926e-8,en-US-2019,Abraham Lincoln (All)
1870,ABRAHAM LINcolN,1.1134365429654736e-8,en-US-2019,Abraham Lincoln (All)
1871,ABRAHAM LINcolN,4.1349013102376375e-9,en-US-2019,Abraham Lincoln (All)
1872,ABRAHAM LINcolN,7.1029138126732505e-9,en-US-2019,Abraham Lincoln (All)
1873,ABRAHAM LINcolN,1.244506386832711e-9,en-US-2019,Abraham Lincoln (All)
1874,ABRAHAM LINcolN,4.186857527344046e-9,en-US-2019,Abraham Lincoln (All)
1875,ABRAHAM LINcolN,1.868364352120011e-9,en-US-2019,Abraham Lincoln (All)
1876,ABRAHAM LINcolN,3.982167040561535e-9,en-US-2019,Abraham Lincoln (All)
1877,ABRAHAM LINcolN,3.542314885862652e-9,en-US-2019,Abraham Lincoln (All)
1878,ABRAHAM LINcolN,1.7744916647188802e-9,en-US-2019,Abraham Lincoln (All)
1879,ABRAHAM LINcolN,3.216907407121994e-9,en-US-2019,Abraham Lincoln (All)
1880,ABRAHAM LINcolN,1.3458369974017614e-9,en-US-2019,Abraham Lincoln (All)
1881,ABRAHAM LINcolN,4.098828387810727e-9,en-US-2019,Abraham Lincoln (All)
1882,ABRAHAM LINcolN,8.024155562225133e-9,en-US-2019,Abraham Lincoln (All)
1883,ABRAHAM LINcolN,6.585907819101067e-9,en-US-2019,Abraham Lincoln (All)
1884,ABRAHAM LINcolN,6.247256933988865e-9,en-US-2019,Abraham Lincoln (All)
1885,ABRAHAM LINcolN,3.3017262257573066e-9,en-US-2019,Abraham Lincoln (All)
1886,ABRAHAM LINcolN,3.383593183414746e-9,en-US-2019,Abraham Lincoln (All)
1887,ABRAHAM LINcolN,8.037234877633637e-9,en-US-2019,Abraham Lincoln (All)
1888,ABRAHAM LINcolN,5.5633804230126316e-9,en-US-2019,Abraham Lincoln (All)
1889,ABRAHAM LINcolN,4.731012470671203e-9,en-US-2019,Abraham Lincoln (All)
1890,ABRAHAM LINcolN,3.791112312967471e-9,en-US-2019,Abraham Lincoln (All)
1891,ABRAHAM LINcolN,1.0964212648900684e-8,en-US-2019,Abraham Lincoln (All)
1892,ABRAHAM LINcolN,2.4022679401269897e-9,en-US-2019,Abraham Lincoln (All)
1893,ABRAHAM LINcolN,1.1691020374016148e-9,en-US-2019,Abraham Lincoln (All)
1894,ABRAHAM LINcolN,3.1975384562343834e-9,en-US-2019,Abraham Lincoln (All)
1895,ABRAHAM LINcolN,4.1518548599128735e-9,en-US-2019,Abraham Lincoln (All)
1896,ABRAHAM LINcolN,3.905066492393416e-9,en-US-2019,Abraham Lincoln (All)
1897,ABRAHAM LINcolN,2.4562243350345625e-9,en-US-2019,Abraham Lincoln (All)
1898,ABRAHAM LINcolN,1.6537045066655764e-9,en-US-2019,Abraham Lincoln (All)
1899,ABRAHAM LINcolN,4.6604160530705485e-9,en-US-2019,Abraham Lincoln (All)
1900,ABRAHAM LINcolN,3.3319786929553175e-9,en-US-2019,Abraham Lincoln (All)
1901,ABRAHAM LINcolN,4.270076736645478e-9,en-US-2019,Abraham Lincoln (All)
1902,ABRAHAM LINcolN,4.571499623295949e-9,en-US-2019,Abraham Lincoln (All)
1903,ABRAHAM LINcolN,1.7660284346021626e-9,en-US-2019,Abraham Lincoln (All)
1904,ABRAHAM LINcolN,1.3272731802516091e-9,en-US-2019,Abraham Lincoln (All)
1905,ABRAHAM LINcolN,6.157089060820908e-9,en-US-2019,Abraham Lincoln (All)
1906,ABRAHAM LINcolN,8.776909754537598e-10,en-US-2019,Abraham Lincoln (All)
1907,ABRAHAM LINcolN,2.2662054455224734e-9,en-US-2019,Abraham Lincoln (All)
1908,ABRAHAM LINcolN,2.524040310092346e-9,en-US-2019,Abraham Lincoln (All)
1909,ABRAHAM LINcolN,4.2678611755775364e-9,en-US-2019,Abraham Lincoln (All)
1910,ABRAHAM LINcolN,2.396538967275319e-9,en-US-2019,Abraham Lincoln (All)
1911,ABRAHAM LINcolN,1.6069442443367166e-9,en-US-2019,Abraham Lincoln (All)
1912,ABRAHAM LINcolN,2.667220222463129e-9,en-US-2019,Abraham Lincoln (All)
1913,ABRAHAM LINcolN,2.4066661996613448e-9,en-US-2019,Abraham Lincoln (All)
1914,ABRAHAM LINcolN,2.5849371532160603e-9,en-US-2019,Abraham Lincoln (All)
1915,ABRAHAM LINcolN,1.0582065224085113e-9,en-US-2019,Abraham Lincoln (All)
1916,ABRAHAM LINcolN,2.406304044910712e-9,en-US-2019,Abraham Lincoln (All)
1917,ABRAHAM LINcolN,1.036295826928324e-9,en-US-2019,Abraham Lincoln (All)
1918,ABRAHAM LINcolN,3.4298457407544447e-9,en-US-2019,Abraham Lincoln (All)
1919,ABRAHAM LINcolN,5.524326773809207e-9,en-US-2019,Abraham Lincoln (All)
1920,ABRAHAM LINcolN,1.851997222246382e-9,en-US-2019,Abraham Lincoln (All)
1921,ABRAHAM LINcolN,3.1314575377194842e-9,en-US-2019,Abraham Lincoln (All)
1922,ABRAHAM LINcolN,2.1445363262984074e-9,en-US-2019,Abraham Lincoln (All)
1923,ABRAHAM LINcolN,2.476369331816386e-9,en-US-2019,Abraham Lincoln (All)
1924,ABRAHAM LINcolN,3.734163644963928e-9,en-US-2019,Abraham Lincoln (All)
1925,ABRAHAM LINcolN,3.1483984308522395e-9,en-US-2019,Abraham Lincoln (All)
1926,ABRAHAM LINcolN,2.508262486600188e-9,en-US-2019,Abraham Lincoln (All)
1927,ABRAHAM LINcolN,3.1461653282605084e-9,en-US-2019,Abraham Lincoln (All)
1928,ABRAHAM LINcolN,6.256919427016783e-9,en-US-2019,Abraham Lincoln (All)
1929,ABRAHAM LINcolN,5.8777049893876665e-9,en-US-2019,Abraham Lincoln (All)
1930,ABRAHAM LINcolN,7.417078506932739e-9,en-US-2019,Abraham Lincoln (All)
1931,ABRAHAM LINcolN,4.306341505611044e-9,en-US-2019,Abraham Lincoln (All)
1932,ABRAHAM LINcolN,2.761216810753808e-9,en-US-2019,Abraham Lincoln (All)
1933,ABRAHAM LINcolN,2.999010817461567e-9,en-US-2019,Abraham Lincoln (All)
1934,ABRAHAM LINcolN,2.3794153314327104e-9,en-US-2019,Abraham Lincoln (All)
1935,ABRAHAM LINcolN,4.028914535325612e-9,en-US-2019,Abraham Lincoln (All)
1936,ABRAHAM LINcolN,2.060573045525871e-9,en-US-2019,Abraham Lincoln (All)
1937,ABRAHAM LINcolN,4.165504385866825e-9,en-US-2019,Abraham Lincoln (All)
1938,ABRAHAM LINcolN,1.7413256392373455e-9,en-US-2019,Abraham Lincoln (All)
1939,ABRAHAM LINcolN,5.048485185454865e-9,en-US-2019,Abraham Lincoln (All)
1940,ABRAHAM LINcolN,1.7864039136838983e-9,en-US-2019,Abraham Lincoln (All)
1941,ABRAHAM LINcolN,2.2347947936651735e-9,en-US-2019,Abraham Lincoln (All)
1942,ABRAHAM LINcolN,3.1947711143232027e-9,en-US-2019,Abraham Lincoln (All)
1943,ABRAHAM LINcolN,5.4154902784375736e-9,en-US-2019,Abraham Lincoln (All)
1944,ABRAHAM LINcolN,2.9385001099058172e-9,en-US-2019,Abraham Lincoln (All)
1945,ABRAHAM LINcolN,3.1367144437410843e-9,en-US-2019,Abraham Lincoln (All)
1946,ABRAHAM LINcolN,2.407270160986741e-9,en-US-2019,Abraham Lincoln (All)
1947,ABRAHAM LINcolN,3.510987056642989e-9,en-US-2019,Abraham Lincoln (All)
1948,ABRAHAM LINcolN,2.5276720716504997e-9,en-US-2019,Abraham Lincoln (All)
1949,ABRAHAM LINcolN,4.443831524980624e-9,en-US-2019,Abraham Lincoln (All)
1950,ABRAHAM LINcolN,4.127272745790833e-9,en-US-2019,Abraham Lincoln (All)
1951,ABRAHAM LINcolN,1.8246736344096348e-9,en-US-2019,Abraham Lincoln (All)
1952,ABRAHAM LINcolN,1.173425689948715e-9,en-US-2019,Abraham Lincoln (All)
1953,ABRAHAM LINcolN,1.2398308157912652e-8,en-US-2019,Abraham Lincoln (All)
1954,ABRAHAM LINcolN,5.8148192927376385e-9,en-US-2019,Abraham Lincoln (All)
1955,ABRAHAM LINcolN,1.528787763049877e-9,en-US-2019,Abraham Lincoln (All)
1956,ABRAHAM LINcolN,1.099551893979367e-9,en-US-2019,Abraham Lincoln (All)
1957,ABRAHAM LINcolN,3.0009783547058078e-9,en-US-2019,Abraham Lincoln (All)
1958,ABRAHAM LINcolN,5.266509894852334e-9,en-US-2019,Abraham Lincoln (All)
1959,ABRAHAM LINcolN,6.373448435681439e-9,en-US-2019,Abraham Lincoln (All)
1960,ABRAHAM LINcolN,3.9892826819709626e-9,en-US-2019,Abraham Lincoln (All)
1961,ABRAHAM LINcolN,1.4231766876093843e-9,en-US-2019,Abraham Lincoln (All)
1962,ABRAHAM LINcolN,1.836012231137829e-9,en-US-2019,Abraham Lincoln (All)
1963,ABRAHAM LINcolN,1.81678716515421e-9,en-US-2019,Abraham Lincoln (All)
1964,ABRAHAM LINcolN,3.5127030173498497e-9,en-US-2019,Abraham Lincoln (All)
1965,ABRAHAM LINcolN,1.748136635448816e-9,en-US-2019,Abraham Lincoln (All)
1966,ABRAHAM LINcolN,6.165546961867108e-10,en-US-2019,Abraham Lincoln (All)
1967,ABRAHAM LINcolN,3.206712451131466e-9,en-US-2019,Abraham Lincoln (All)
1968,ABRAHAM LINcolN,5.950569370583025e-9,en-US-2019,Abraham Lincoln (All)
1969,ABRAHAM LINcolN,1.2432231910608493e-9,en-US-2019,Abraham Lincoln (All)
1970,ABRAHAM LINcolN,8.937839912626089e-10,en-US-2019,Abraham Lincoln (All)
1971,ABRAHAM LINcolN,8.032081111331024e-10,en-US-2019,Abraham Lincoln (All)
1972,ABRAHAM LINcolN,9.057204430895638e-10,en-US-2019,Abraham Lincoln (All)
1973,ABRAHAM LINcolN,1.7437908061967988e-10,en-US-2019,Abraham Lincoln (All)
1974,ABRAHAM LINcolN,8.050808908421914e-10,en-US-2019,Abraham Lincoln (All)
1975,ABRAHAM LINcolN,3.47745610085326e-10,en-US-2019,Abraham Lincoln (All)
1976,ABRAHAM LINcolN,5.670300340376855e-10,en-US-2019,Abraham Lincoln (All)
1977,ABRAHAM LINcolN,1.0335196032329463e-9,en-US-2019,Abraham Lincoln (All)
1978,ABRAHAM LINcolN,2.373378715780916e-10,en-US-2019,Abraham Lincoln (All)
1979,ABRAHAM LINcolN,8.739158841031269e-10,en-US-2019,Abraham Lincoln (All)
1980,ABRAHAM LINcolN,2.393788778309869e-10,en-US-2019,Abraham Lincoln (All)
1981,ABRAHAM LINcolN,1.6161944005332884e-10,en-US-2019,Abraham Lincoln (All)
1982,ABRAHAM LINcolN,8.043645610689154e-11,en-US-2019,Abraham Lincoln (All)
1983,ABRAHAM LINcolN,0,en-US-2019,Abraham Lincoln (All)
1984,ABRAHAM LINcolN,2.3060665876872832e-10,en-US-2019,Abraham Lincoln (All)
1985,ABRAHAM LINcolN,1.195070820081412e-9,en-US-2019,Abraham Lincoln (All)
1986,ABRAHAM LINcolN,1.502750146542553e-10,en-US-2019,Abraham Lincoln (All)
1987,ABRAHAM LINcolN,7.452335970548063e-11,en-US-2019,Abraham Lincoln (All)
1988,ABRAHAM LINcolN,2.2181244341279438e-10,en-US-2019,Abraham Lincoln (All)
1989,ABRAHAM LINcolN,2.0859292071406799e-10,en-US-2019,Abraham Lincoln (All)
1990,ABRAHAM LINcolN,6.692389697970924e-11,en-US-2019,Abraham Lincoln (All)
1991,ABRAHAM LINcolN,1.380428965580549e-10,en-US-2019,Abraham Lincoln (All)
1992,ABRAHAM LINcolN,2.667611409545856e-10,en-US-2019,Abraham Lincoln (All)
1993,ABRAHAM LINcolN,1.2522183290286648e-9,en-US-2019,Abraham Lincoln (All)
1994,ABRAHAM LINcolN,2.6407431796826586e-10,en-US-2019,Abraham Lincoln (All)
1995,ABRAHAM LINcolN,2.548930788659476e-10,en-US-2019,Abraham Lincoln (All)
1996,ABRAHAM LINcolN,1.983542913253089e-10,en-US-2019,Abraham Lincoln (All)
1997,ABRAHAM LINcolN,1.2812796379435554e-9,en-US-2019,Abraham Lincoln (All)
1998,ABRAHAM LINcolN,3.118040492466889e-9,en-US-2019,Abraham Lincoln (All)
1999,ABRAHAM LINcolN,3.3276867372755703e-10,en-US-2019,Abraham Lincoln (All)
2000,ABRAHAM LINcolN,8.538636464550109e-10,en-US-2019,Abraham Lincoln (All)
2001,ABRAHAM LINcolN,4.285693466776763e-10,en-US-2019,Abraham Lincoln (All)
2002,ABRAHAM LINcolN,4.77265005294214e-10,en-US-2019,Abraham Lincoln (All)
2003,ABRAHAM LINcolN,5.178973361275041e-10,en-US-2019,Abraham Lincoln (All)
2004,ABRAHAM LINcolN,4.0005304624557425e-10,en-US-2019,Abraham Lincoln (All)
2005,ABRAHAM LINcolN,3.125655290148188e-10,en-US-2019,Abraham Lincoln (All)
2006,ABRAHAM LINcolN,3.1445498982485276e-10,en-US-2019,Abraham Lincoln (All)
2007,ABRAHAM LINcolN,1.9139435869508503e-10,en-US-2019,Abraham Lincoln (All)
2008,ABRAHAM LINcolN,5.233567468287958e-10,en-US-2019,Abraham Lincoln (All)
2009,ABRAHAM LINcolN,6.022848331177499e-10,en-US-2019,Abraham Lincoln (All)
2010,ABRAHAM LINcolN,3.944058968308184e-10,en-US-2019,Abraham Lincoln (All)
1850,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1851,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1852,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1853,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1854,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1855,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1856,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1857,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1858,ABRAHAM LINcoln,0,en-US-2019,Abraham Lincoln (All)
1859,ABRAHAM LINcoln,7.317145778173995e-10,en-US-2019,Abraham Lincoln (All)
1860,ABRAHAM LINcoln,7.193130535654291e-10,en-US-2019,Abraham Lincoln (All)
1861,ABRAHAM LINcoln,2.043790692241032e-9,en-US-2019,Abraham Lincoln (All)
